3 -1 3
4
1 -1 3
1
2
1 1 1.5789
1 2 0.7025
1 -1 3
1
2
2 1 0.0252
2 2 0.9099
1 -1 3
1
2
3 1 0.0112
3 2 3.2663
1 -1 3
1
2
4 1 0.2702
4 2 0.5357
1 -1 3
2
2
1 1 -1.7259
1 2 0.1480
1 -1 3
2
2
2 1 -0.2714
2 2 -0.4581
1 -1 3
2
2
3 1 0.2651
3 2 -0.4734
1 -1 3
2
2
4 1 0.2763
4 2 0.6556
3 -1 3
1
4
1 1 3.4599
1 2 0.0016
1 3 1.3321
1 4 0.0057
3 -1 3
1
4
2 1 0.0016
2 2 0.4727
2 3 0.0707
2 4 0.0050
3 -1 3
1
4
3 1 1.3321
3 2 0.0707
3 3 0.1535
3 4 0.2984
3 -1 3
1
4
4 1 0.0057
4 2 0.0050
4 3 0.2984
4 4 0.7362
3 -1 3
2
4
1 1 -1.6203
1 2 -0.3131
1 3 0.6481
1 4 0.1098
3 -1 3
2
4
2 1 -0.3131
2 2 1.3185
2 3 -0.3872
2 4 0.7570
3 -1 3
2
4
3 1 0.6481
3 2 -0.3872
3 3 1.0704
3 4 0.7693
3 -1 3
2
4
4 1 0.1098
4 2 0.7570
4 3 0.7693
4 4 -1.2676
5 -1 3
1
3
1 1 0.2580
1 2 0.5231
1 3 0.1031
5 -1 3
1
3
2 1 3.6506
2 2 0.1007
2 3 0.0101
5 -1 3
1
3
3 1 0.3558
3 2 1.0453
3 3 0.1643
5 -1 3
1
3
4 1 0.0467
4 2 0.1980
4 3 0.0300
5 -1 3
2
3
1 1 0.3875
1 2 -0.6325
1 3 -0.6177
5 -1 3
2
3
2 1 -1.4261
2 2 0.1451
2 3 1.6785
5 -1 3
2
3
3 1 0.3546
3 2 -2.0521
3 3 0.0851
5 -1 3
2
3
4 1 -0.2561
4 2 -0.5644
4 3 0.2522
7 -1 3
2
1
1 1 -1.1892
7 -1 3
2
1
2 1 -0.8944
7 -1 3
2
1
3 1 -0.1399
7 -1 3
2
1
4 1 -0.4591
1 1 3
1
1
1 1 0.0799
1 1 3
1
1
2 1 -0.1162
1 1 3
1
1
3 1 0.0285
1 1 3
1
1
4 1 0.0022
3 1 3
1
2
1 1 -0.1196
1 2 -0.0572
3 1 3
1
2
2 1 -0.0454
2 2 -0.0244
3 1 3
1
2
3 1 0.0155
3 2 0.0547
3 1 3
1
2
4 1 -0.0173
4 2 -0.0360
5 1 3
1
2
1 1 -0.0189
1 2 -0.0299
5 1 3
1
2
2 1 -0.0400
2 2 -0.0063
5 1 3
1
2
3 1 -0.0610
3 2 -0.0980
5 1 3
1
2
4 1 -0.0102
4 2 -0.0408
